participant,stimuli,trialNum,target_type,response,correct,block,reaction_time,trigger,
R2362,mardirá,1,word,1,True,1,1.4219748973846436,2,
R2362,quemarías,2,word,2,True,1,0.971855878829956,1,
R2362,nadaremos,3,word,2,True,1,0.7150998115539551,1,
R2362,anrerá,4,word,1,True,1,0.8029730319976807,2,
R2362,cederá,5,word,2,True,1,1.058100938796997,1,
R2362,cichirán,6,word,1,True,1,1.1080689430236816,2,
R2362,lorgaría,7,word,1,True,1,1.8627510070800781,2,
R2362,quijarías,8,word,1,True,1,1.8289670944213867,2,
R2362,frinderé,9,word,1,True,1,0.8888018131256104,2,
R2362,bailará,10,word,2,True,1,0.5829172134399414,1,
R2362,runaría,11,word,1,True,1,0.8870289325714111,2,
R2362,retarían,12,word,2,True,1,1.0748929977416992,1,
R2362,moncerá,13,word,1,True,1,0.8288249969482422,2,
R2362,poreremos,14,word,1,True,1,1.0640380382537842,2,
R2362,frindía,15,word,1,True,1,0.8850135803222656,2,
R2362,lamerá,16,word,2,True,1,1.8052091598510742,1,
R2362,eplarán,17,word,1,True,1,1.1600761413574219,2,
R2362,chanrarán,18,word,1,True,1,1.0380988121032715,2,
R2362,maftaríamos,19,word,1,True,1,0.861116886138916,2,
R2362,formaré,20,word,2,True,1,0.7309169769287109,1,
R2362,mardiremos,21,word,1,True,1,1.146791934967041,2,
R2362,sauarían,22,word,1,True,1,1.0299370288848877,2,
R2362,cetaremos,23,word,1,True,1,1.530900001525879,2,
R2362,luntían,24,word,1,True,1,0.9377830028533936,2,
R2362,uniríamos,25,word,2,True,1,0.9950559139251709,1,
R2362,cedías,26,word,1,False,1,2.1910560131073,1,
R2362,lorgaba,27,word,1,True,1,1.194800853729248,2,
R2362,mardirías,28,word,1,True,1,0.9827618598937988,2,
R2362,cortaría,29,word,2,True,1,1.3469431400299072,1,
R2362,barrerán,30,word,2,True,1,0.8571529388427734,1,
R2362,runaríamos,31,word,1,True,1,1.1370086669921875,2,
R2362,cisarás,32,word,1,True,1,1.112945318222046,2,
R2362,sumaré,33,word,2,True,1,1.1110520362854004,1,
R2362,gacharían,34,word,1,True,1,1.050765037536621,2,
R2362,anrerían,35,word,1,True,1,1.037019968032837,2,
R2362,faltabas,36,word,2,True,1,0.849066972732544,1,
R2362,cuarriría,37,word,1,True,1,0.9039618968963623,2,
R2362,lailarán,38,word,1,True,1,0.9599969387054443,2,
R2362,casaremos,39,word,2,True,1,0.7348320484161377,1,
R2362,temerías,40,word,2,True,1,0.8050210475921631,1,
R2362,porerías,41,word,1,True,1,0.7797839641571045,2,
R2362,charlarían,42,word,1,False,1,0.6708910465240479,1,
R2362,rayarás,43,word,2,True,1,1.3078112602233887,1,
R2362,morderemos,44,word,2,True,1,0.9383628368377686,1,
R2362,chanraba,45,word,1,True,1,1.2091403007507324,2,
R2362,nadarían,46,word,2,True,1,0.7143359184265137,1,
R2362,toserás,47,word,1,False,1,0.8954451084136963,1,
R2362,ceflerás,48,word,1,True,1,0.8730299472808838,2,
R2362,tupliría,49,word,1,True,1,1.1641161441802979,2,
R2362,tupliré,50,word,1,True,1,0.9652149677276611,2,
R2362,seseremos,51,word,1,True,1,0.7545068264007568,2,
R2362,subía,52,word,2,True,1,0.7393918037414551,1,
R2362,fanían,53,word,1,True,1,0.8939239978790283,2,
R2362,pavabas,54,word,1,True,1,0.9118249416351318,2,
R2362,rayaríamos,55,word,2,True,1,1.0529582500457764,1,
R2362,bailaría,56,word,2,True,1,1.2432568073272705,1,
R2362,coserás,57,word,2,True,1,1.901237964630127,1,
R2362,casarán,58,word,2,True,1,0.6483719348907471,1,
R2362,cichirías,59,word,1,True,1,0.7673690319061279,2,
R2362,partirán,60,word,1,False,1,1.3880462646484375,1,
R2362,mertará,61,word,1,True,1,1.2873458862304688,2,
R2362,tosíamos,62,word,2,True,1,1.1617989540100098,1,
R2362,anríamos,63,word,1,True,1,1.0752308368682861,2,
R2362,morderíamos,64,word,2,True,1,1.6581149101257324,1,
R2362,subirías,65,word,2,True,1,1.3890328407287598,1,
R2362,bruviríamos,66,word,1,True,1,2.515989065170288,2,
R2362,comeríamos,67,word,2,True,1,1.3790950775146484,1,
R2362,bimaremos,68,word,1,True,1,1.0590667724609375,2,
R2362,coseremos,69,word,2,True,1,2.4109599590301514,1,
R2362,rimarás,70,word,1,False,1,1.4060389995574951,1,
R2362,besaremos,71,word,1,False,1,2.1830289363861084,1,
R2362,metería,72,word,1,False,1,5.032098054885864,1,
R2362,arderá,73,word,2,True,1,1.2809531688690186,1,
R2362,anría,74,word,1,True,1,1.125072956085205,2,
R2362,cedíamos,75,word,2,True,1,0.9691009521484375,1,
