participant,stimuli,trialNum,target_type,response,correct,block,reaction_time,trigger,
R2394,charlaría,1,word,2,True,1,1.2293450832366943,1,
R2394,bimabas,2,word,1,True,1,1.0869760513305664,2,
R2394,ceterían,3,word,1,True,1,1.231095790863037,2,
R2394,narraba,4,word,2,True,1,0.6858341693878174,1,
R2394,casarían,5,word,2,True,1,1.537745714187622,1,
R2394,rotarías,6,word,2,True,1,0.6869630813598633,1,
R2394,ardíamos,7,word,2,True,1,0.7989208698272705,1,
R2394,somerás,8,word,1,True,1,1.2151238918304443,2,
R2394,bigarás,9,word,1,True,1,0.9717512130737305,2,
R2394,juraría,10,word,p,False,1,274.8468999862671,1,
