participant,stimuli,trialNum,target_type,response,correct,block,reaction_time,trigger,
R2406,riterías,1,word,1,True,1,2.623331069946289,2,
R2406,hondías,2,word,1,True,1,1.9668259620666504,2,
R2406,temeríamos,3,word,2,True,1,1.6239323616027832,1,
R2406,tosían,4,word,2,True,1,1.4508979320526123,1,
R2406,fundirá,5,word,2,True,1,1.507904052734375,1,
R2406,cedía,6,word,2,True,1,0.8537940979003906,1,
R2406,frinderían,7,word,1,True,1,1.412987232208252,2,
R2406,cubrirían,8,word,2,True,1,1.1429870128631592,1,
R2406,cosían,9,word,2,True,1,1.2238378524780273,1,
R2406,prendías,10,word,2,True,1,1.1438579559326172,1,
R2406,besaremos,11,word,2,True,1,1.7728910446166992,1,
R2406,arderemos,12,word,2,True,1,1.6920647621154785,1,
R2406,partiríamos,13,word,2,True,1,1.6920201778411865,1,
R2406,ciperías,14,word,1,True,1,1.2129149436950684,2,
R2406,quemarás,15,word,2,True,1,1.2298259735107422,1,
R2406,retábamos,16,word,2,True,1,1.122087001800537,1,
R2406,gacharían,17,word,1,True,1,2.1603410243988037,2,
R2406,gruñíamos,18,word,2,True,1,1.2248797416687012,1,
R2406,galaba,19,word,1,True,1,1.1987910270690918,2,
R2406,sesías,20,word,1,True,1,1.0871539115905762,2,
R2406,tujiremos,21,word,1,True,1,1.6399009227752686,2,
R2406,imiría,22,word,1,True,1,1.5651588439941406,2,
R2406,runará,23,word,1,True,1,1.2081549167633057,2,
R2406,cisaba,24,word,1,True,1,2.0406289100646973,2,
R2406,metería,25,word,2,True,1,1.1050958633422852,1,
R2406,runarás,26,word,1,True,1,1.9494073390960693,2,
R2406,maftábamos,27,word,1,True,1,1.9841501712799072,2,
R2406,obrará,28,word,2,True,1,1.2312700748443604,1,
R2406,galarán,29,word,1,True,1,1.611682653427124,2,
R2406,rotábamos,30,word,2,True,1,1.484811782836914,1,
R2406,chanrarían,31,word,1,True,1,2.2589478492736816,2,
R2406,meterán,32,word,2,True,1,1.7918179035186768,1,
R2406,metía,33,word,2,True,1,0.9369471073150635,1,
R2406,cefleremos,34,word,1,True,1,1.9590070247650146,2,
R2406,retaríamos,35,word,2,True,1,2.2149658203125,1,
R2406,cetían,36,word,1,True,1,1.0919649600982666,2,
R2406,subirá,37,word,2,True,1,1.026968002319336,1,
R2406,cenarás,38,word,2,True,1,1.1050751209259033,1,
R2406,cumpliremos,39,word,2,True,1,2.371734142303467,1,
R2406,luntiré,40,word,1,True,1,1.2679591178894043,2,
R2406,formarían,41,word,2,True,1,1.0519499778747559,1,
R2406,ciperían,42,word,1,True,1,1.2929301261901855,2,
R2406,eplábamos,43,word,1,True,1,1.9159760475158691,2,
R2406,tuplirás,44,word,1,True,1,1.4835867881774902,2,
R2406,besarás,45,word,2,True,1,0.9868209362030029,1,
R2406,subía,46,word,2,True,1,1.0558159351348877,1,
R2406,rotaremos,47,word,2,True,1,1.5669159889221191,1,
R2406,narraban,48,word,2,True,1,0.9519951343536377,1,
R2406,bruvirías,49,word,1,True,1,1.5840117931365967,2,
R2406,cisará,50,word,1,True,1,2.1739182472229004,2,
R2406,chanraríamos,51,word,1,True,1,1.8919947147369385,2,
R2406,arderá,52,word,2,True,1,1.2757668495178223,1,
R2406,luchábamos,53,word,2,True,1,0.9528892040252686,1,
R2406,frinderé,54,word,1,True,1,1.1924762725830078,2,
R2406,sumábamos,55,word,2,True,1,1.4058842658996582,1,
R2406,tosía,56,word,2,True,1,0.9659037590026855,1,
R2406,poría,57,word,1,True,1,1.1569299697875977,2,
R2406,faltaba,58,word,2,True,1,0.7570569515228271,1,
R2406,cumplirán,59,word,2,True,1,1.0749869346618652,1,
R2406,cumpliríamos,60,word,2,True,1,1.0138828754425049,1,
R2406,faltarán,61,word,2,True,1,1.0285701751708984,1,
R2406,cubrirá,62,word,2,True,1,0.870948314666748,1,
R2406,besaba,63,word,2,True,1,0.758054256439209,1,
R2406,subirán,64,word,2,True,1,0.7227261066436768,1,
R2406,lorgarían,65,word,1,True,1,2.1739518642425537,2,
R2406,tujías,66,word,1,True,1,1.1441338062286377,2,
R2406,hondería,67,word,1,True,1,1.0687079429626465,2,
R2406,eplaríamos,68,word,1,True,1,1.4519538879394531,2,
R2406,narrarían,69,word,2,True,1,2.1480979919433594,1,
R2406,porían,70,word,1,True,1,1.534006118774414,2,
R2406,vendía,71,word,2,True,1,1.0740368366241455,1,
R2406,cedería,72,word,2,True,1,1.452796220779419,1,
R2406,lorgarán,73,word,1,True,1,2.863945245742798,2,
R2406,maftarían,74,word,1,True,1,2.2338712215423584,2,
R2406,obrarás,75,word,2,True,1,1.5459320545196533,1,
R2406,uniría,76,word,2,True,1,1.6949279308319092,1,
R2406,besarían,77,word,2,True,1,1.7879648208618164,1,
R2406,retarán,78,word,2,True,1,1.359894037246704,1,
R2406,formaremos,79,word,2,True,1,1.3818449974060059,1,
R2406,cederían,80,word,2,True,1,1.7048439979553223,1,
R2406,tuplíamos,81,word,1,True,1,1.6679422855377197,2,
R2406,quemarías,82,word,2,True,1,1.0077991485595703,1,
R2406,narrarás,83,word,2,True,1,2.3889200687408447,1,
R2406,anrerá,84,word,1,True,1,1.5045697689056396,2,
R2406,coserán,85,word,2,True,1,1.107928991317749,1,
R2406,ciperás,86,word,1,True,1,1.070706844329834,2,
R2406,cetaba,87,word,1,True,1,1.0480210781097412,2,
R2406,cortará,88,word,2,True,1,1.0808250904083252,1,
R2406,retaremos,89,word,2,True,1,1.8008031845092773,1,
R2406,mardiría,90,word,1,True,1,1.9280891418457031,2,
R2406,bigaremos,91,word,1,True,1,1.876845121383667,2,
R2406,cisarías,92,word,1,True,1,1.2929692268371582,2,
R2406,bimarías,93,word,1,True,1,1.6008970737457275,2,
R2406,imirían,94,word,1,True,1,1.9267966747283936,2,
R2406,tuplías,95,word,1,True,1,1.013965129852295,2,
R2406,venderás,96,word,2,True,1,1.2868599891662598,1,
R2406,lacheré,97,word,1,True,1,3.731790065765381,2,
R2406,luntía,98,word,1,True,1,0.937891960144043,2,
R2406,uníamos,99,word,2,True,1,0.9068560600280762,1,
R2406,fundirías,100,word,2,True,1,1.084834098815918,1,
R2406,lamía,101,word,2,True,1,0.8774137496948242,1,
R2406,faltaría,102,word,2,True,1,0.7049620151519775,1,
R2406,frinderás,103,word,1,True,1,1.0069451332092285,2,
R2406,fanerías,104,word,1,True,1,1.2709031105041504,2,
R2406,quijarán,105,word,1,True,1,1.613041877746582,2,
R2406,venderías,106,word,2,True,1,1.1459589004516602,1,
R2406,coserás,107,word,2,True,1,0.9837818145751953,1,
R2406,cortarán,108,word,2,True,1,1.0456769466400146,1,
R2406,casarían,109,word,2,True,1,1.1808760166168213,1,
R2406,cipíamos,110,word,1,True,1,1.4668400287628174,2,
